id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity
11,Nguyễn Hồ Nam,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2025-03-14,0.0921,81023783
4,Hoàng Thị Minh Châu,Kế toán trưởng/Giám đốc Tài chính,Kế toán trưởng/GĐ Tài chính,2023-05-15,0.0163,8751675
15,Nguyễn Thanh Hùng,Phó Tổng Giám đốc/Phó Chủ tịch Hội đồng Quản trị,Phó TGĐ/Phó Chủ tịch HĐQT,2025-04-10,0.0084,7366934
10,BÙI THÀNH LÂM,Thành viên Hội đồng Quản trị,TV HĐQT,2025-03-06,0.0078,4177800
6,Nguyễn Thế Tài,Phó Chủ tịch Hội đồng Quản trị/Tổng Giám đốc,Phó Chủ tịch HĐQT/TGĐ,2024-08-01,0.0054,4340050
3,Trần Thị Huệ Linh,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2023-04-03,0.0042,2252500
8,Phạm Minh Tuấn,Phó Chủ tịch Hội đồng Quản trị/Phụ trách Công bố thông tin/Phó Tổng Giám đốc,Phó Chủ tịch HĐQT/Phụ trách CBTT/Phó TGĐ,2025-02-05,0.0039009,3433646
5,Đinh Hoài Châu,Trưởng Ban kiểm soát,Trưởng BKS,2024-05-22,0.0039,2008572
7,Phạm Nguyễn Thiên Chương,Thành viên Hội đồng Quản trị,TV HĐQT,2024-08-01,0.0014,1087800
1,Dương Đức Hùng,Phó Tổng Giám đốc,Phó TGĐ,2015-09-14,0.0006,65000
12,Kou Kok Yiow,Thành viên Ban kiểm soát,TV BKS,2025-03-17,0.0004337,381704
14,Tan Bo Quan Andy,Thành viên Hội đồng Quản trị,TV HĐQT,2025-03-24,0.0001919,168905
13,Nguyễn Viết Cương,Thành viên Ban kiểm soát,TV BKS,2025-03-20,4e-06,3400
9,Nguyễn Quốc Khánh,Thành viên Hội đồng Quản trị độc lập,Thành viên HĐQT độc lập,2025-02-14,0.0,0
2,Khuất Tuấn Anh,Thành viên Hội đồng Quản trị,TV HĐQT,2020-06-29,0.0,0
